Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Nov 2019 13:36:44 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"298415","NO35SE 269","Powmyre Quarry","Burnt Mound (Prehistoric)(Possible), Cremation (Period Unassigned), Hearth (Prehistoric), Lithic Scatter(S) (Prehistoric), Long Cist(S) (Early Medieval), Pit Alignment(S) (Prehistoric), Post Hole(S) (Prehistoric), Pottery Scatter(S) (Prehistoric), Rig And Furrow (Medieval), Roundhouse (Prehistoric), Short Cist (Bronze Age)","336460","750230","ANGUS","ANGUS","AIRLIE","NO 3646 5023","http://canmore.org.uk/site/298415",
"357556","NO53NE 132","Carnoustie, David Moyes Road/ Balmachie Road","Field Drain(S) (Medieval), Pit Group(S) (Prehistoric), Pit Group(S) (Prehistoric), Pottery Scatter (Prehistoric), Rig And Furrow(S) (Medieval), Structure(S) (Prehistoric), Hoard (Bronze Age), Pin (Bronze Age), Spearhead (Gold)(Bronze Age), Sword (Bronze)(Bronze Age), Unidentified Pottery(S) (Prehistoric)","355570","735219","ANGUS","ANGUS","BARRY","NO 55570 35219","http://canmore.org.uk/site/357556",
"32218","NO35NE 5","Auchlishie","Ring Ditch House(S) (Prehistoric), Souterrain (Prehistoric), Logboat (Possible)","338730","757880","ANGUS","ANGUS","KIRRIEMUIR","NO 3873 5788","http://canmore.org.uk/site/32218",
"35451","NO64NW 19","Letham Grange","Cup And Ring Marked Stone (Prehistoric), Souterrain (Prehistoric)","362340","745840","ANGUS","ANGUS","ARBROATH AND ST VIGEANS","NO 6234 4584","http://canmore.org.uk/site/35451",
"30686","NO24NE 1","Ruthven","Cup And Ring Marked Stone (Prehistoric), Souterrain (Prehistoric)","328680","748780","ANGUS","ANGUS","RUTHVEN","NO 2868 4878","http://canmore.org.uk/site/30686",
"32358","NO35SW 19","Barns Of Airlie","Carved Stone (Period Unassigned), Souterrain (Prehistoric)","330569","751535","ANGUS","ANGUS","AIRLIE","NO 30569 51535","http://canmore.org.uk/site/32358",
"33350","NO43NW 1","Tealing","Cup Marked Stone (Prehistoric), Souterrain (Prehistoric)","341218","738167","ANGUS","ANGUS","TEALING","NO 41218 38167","http://canmore.org.uk/site/33350",
"34813","NO55NW 320","Finavon","Fort (Iron Age)","350697","755666","ANGUS","ANGUS","OATHLAW","NO 50697 55666","http://canmore.org.uk/site/34813",
"34906","NO55SW 15","Westerton","Carved Stone (Period Unassigned), Cup Marked Stone (Prehistoric), Standing Stone (Prehistoric)","353640","752100","ANGUS","ANGUS","ABERLEMNO","NO 5364 5210","http://canmore.org.uk/site/34906",
"35007","NO56NW 17","White Caterthun","Cup Marked Stone (Prehistoric), Fort (Iron Age)","354730","766070","ANGUS","ANGUS","MENMUIR","NO 5473 6607","http://canmore.org.uk/site/35007",
