Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 25 Nov 2019 13:00:43 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"45259","NS67SW 27","Easter Cadder","Henge (Neol/bronze Age)(Possible), Pit Circle (Prehistoric)(Possible), Timber Circle (Neol/bronze Age)(Possible)","264251","673425","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 64251 73425","http://canmore.org.uk/site/45259",
"44173","NS56NW 15","Shiels","Settlement (Period Unassigned)","252330","666760","GLASGOW, CITY OF","LANARKSHIRE","GOVAN (CITY OF GLASGOW)","NS 5233 6676","http://canmore.org.uk/site/44173",
"44301","NS56SE 4","Glasgow, Old St Enoch's Church","Polished Axehead (Jadeite), Logboat","258920","664950","GLASGOW, CITY OF","LANARKSHIRE","GLASGOW (CITY OF GLASGOW)","NS 5892 6495","http://canmore.org.uk/site/44301",
"44475","NS57SE 11","Wilderness Plantation","Fortlet (Roman)","259803","672120","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 59803 72120","http://canmore.org.uk/site/44475",
"44476","NS57SE 12","Balmuildy","Roman Fort (Roman)","258110","671690","GLASGOW, CITY OF","LANARKSHIRE","CADDER (CITY OF GLASGOW)","NS 58110 71690","http://canmore.org.uk/site/44476",
"44478","NS57SE 14","Balmuildy, Roman Bridge","Bridge (Roman)","258030","671850","GLASGOW, CITY OF","LANARKSHIRE","CADDER (CITY OF GLASGOW)","NS 5803 7185","http://canmore.org.uk/site/44478",
"44479","NS57SE 15","Balmuildy","Temporary Camp (Roman)","258600","672200","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 58600 72200","http://canmore.org.uk/site/44479",
"45208","NS67SE 19","South Broomknowes","Cinerary Urn(S)","266720","670420","NORTH LANARKSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-LA)","NS 6672 7042","http://canmore.org.uk/site/45208",
"45213","NS67SE 23","Hill Of Chryston","Enclosure (Period Unassigned)","268290","670730","NORTH LANARKSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-LA)","NS 6829 7073","http://canmore.org.uk/site/45213",
"45247","NS67SW 16","Cadder","Roman Fort (Roman)","261670","672530","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6167 7253","http://canmore.org.uk/site/45247",
